package,category,source,description
abind,Data wrangling utilities,CRAN,Combine multi-dimensional arrays
admisc,Miscellaneous utilities,CRAN,Miscellaneous functions for QCA and other methods
airr,Immune & clinical data,CRAN,AIRR-compliant immune repertoire data I/O
aplot,Visualisation (other),CRAN,Arrange ggplot2 plots with associated panels
askpass,Miscellaneous utilities,CRAN,Password input for credentials
assertthat,Miscellaneous utilities,CRAN,User-friendly assertions
audio,Miscellaneous utilities,CRAN,Audio playback and recording
babelgene,Genomic ranges & annotation,CRAN,Gene ID/symbol conversion across species
backports,Miscellaneous utilities,CRAN,Backports of newer R functions to older R
base64,Miscellaneous utilities,CRAN,Another base64 utility
base64enc,Miscellaneous utilities,CRAN,Base64 encoding/decoding
bayesbio,Bayesian & MCMC,CRAN,Miscellaneous Bayesian/bioinformatics functions
beanplot,Visualisation (other),CRAN,Bean plots as alternative to boxplots
beepr,Miscellaneous utilities,CRAN,Play notification sounds
beeswarm,Visualisation (other),CRAN,Beeswarm dot plots (base graphics)
BH,Maths & numerical,CRAN,Boost C++ header library
biganalytics,Parallel & performance,CRAN,Analytics for bigmemory objects
bigD,Reporting & documents,CRAN,Big number formatting for gt tables
biglm,Parallel & performance,CRAN,Bounded memory linear/GLMs
bigmemory,Parallel & performance,CRAN,Large matrices stored outside R's memory
bigmemory.sri,Parallel & performance,CRAN,Shared resource interface for bigmemory
bigtabulate,Parallel & performance,CRAN,Tabulation for bigmemory objects
BiocManager,Package development & workflow,CRAN,Install and manage Bioc packages
bit,Parallel & performance,CRAN,Efficient bit vectors
bit64,Parallel & performance,CRAN,64-bit integers
bitops,Maths & numerical,CRAN,Bitwise operations
blob,Data import / export,CRAN,Binary large object storage
brew,Package development & workflow,CRAN,Templating for R code generation
brio,Package development & workflow,CRAN,Basic R I/O utilities
broom,Data wrangling utilities,CRAN,Tidy model outputs into data frames
broom.helpers,Data wrangling utilities,CRAN,Helpers for broom and tidy workflows
broom.mixed,Data wrangling utilities,CRAN,Tidy mixed model outputs
bslib,Reporting & documents,CRAN,Bootstrap themes for Shiny/R Markdown
ca,Statistics & modelling,CRAN,Simple multiple and joint correspondence analysis
cachem,Miscellaneous utilities,CRAN,Cache objects in memory or disk
Cairo,Reporting & documents,CRAN,Cairo graphics device
calibrate,Visualisation (other),CRAN,Label calibration for base plots
callr,Miscellaneous utilities,CRAN,Call R from R in a clean session
car,Statistics & modelling,CRAN,Companion to applied regression: ANOVA tests
carData,Statistics & modelling,CRAN,Datasets for the car package
cards,Reporting & documents,CRAN,Create analysis result data sets (ARDs)
caTools,Maths & numerical,CRAN,Moving window statistics and ROC/AUC
cellranger,Data import / export,CRAN,Excel cell range utilities (used by readxl)
checkmate,Miscellaneous utilities,CRAN,Fast argument checking
chron,Miscellaneous utilities,CRAN,Dates and times (older)
circlize,Visualisation (other),CRAN,Circular/chord diagrams
classInt,Spatial & GIS,CRAN,Class intervals for choropleth maps
cli,Miscellaneous utilities,CRAN,Rich command-line interfaces
clipr,Miscellaneous utilities,CRAN,Read/write system clipboard
cmm,Statistics & modelling,CRAN,Categorical marginal models
collections,Miscellaneous utilities,CRAN,Additional data structures (queues sets)
colorspace,Visualisation (ggplot2 extensions),CRAN,Colour space tools and palettes
combinat,Data wrangling utilities,CRAN,Combinatorics utilities
commonmark,Reporting & documents,CRAN,CommonMark Markdown parser
compositions,Statistics & modelling,CRAN,Compositional data analysis
confintr,Statistics & modelling,CRAN,Confidence intervals for many statistics
conflicted,Tidyverse & core data,CRAN,Explicit error on namespace conflicts
corrplot,Visualisation (other),CRAN,Visualise correlation matrices (base graphics)
cowplot,Visualisation (ggplot2 extensions),CRAN,ggplot2 themes and plot arrangement
cpp11,Maths & numerical,CRAN,Modern C++11 interface for R
crayon,Miscellaneous utilities,CRAN,ANSI colour in terminal output
credentials,Package development & workflow,CRAN,Manage git/HTTPS credentials
crosstalk,Reporting & documents,CRAN,Shared data for linked htmlwidgets
curl,Miscellaneous utilities,CRAN,Curl HTTP client
CVXR,Statistics & modelling,CRAN,Disciplined convex optimisation
cyclocomp,Package development & workflow,CRAN,Cyclomatic complexity of R code
data.table,Tidyverse & core data,CRAN,Fast in-memory data operations
data.tree,Data wrangling utilities,CRAN,Hierarchical data structures
datawizard,Statistics & modelling,CRAN,Data wrangling for easystats
DBI,Data import / export,CRAN,Database interface abstraction layer
dbplyr,Tidyverse & core data,CRAN,dplyr backend that translates to SQL
deldir,Spatial & GIS,CRAN,Delaunay triangulation and Voronoi mosaics
dendextend,Phylogenetics & trees,CRAN,Extend and compare dendrograms
DEoptimR,Statistics & modelling,CRAN,Differential evolution optimisation in R
Deriv,Statistics & modelling,CRAN,Symbolic differentiation
desc,Package development & workflow,CRAN,Manipulate DESCRIPTION files
devtools,Package development & workflow,CRAN,Package development workflow
diffobj,Package development & workflow,CRAN,Diff R objects visually
digest,Miscellaneous utilities,CRAN,Hash functions (MD5 SHA)
diptest,Statistics & modelling,CRAN,Test for unimodality
doBy,Statistics & modelling,CRAN,Group-wise statistics and linear contrasts
doParallel,Parallel & performance,CRAN,Parallel backend for foreach
doRNG,Parallel & performance,CRAN,Reproducible RNG for foreach
dotCall64,Spatial & GIS,CRAN,Enhanced foreign function interface for spam
downlit,Reporting & documents,CRAN,Syntax highlighting and linking for R code
downloader,Miscellaneous utilities,CRAN,Download files with progress
dplyr,Tidyverse & core data,CRAN,Data manipulation: filter mutate summarise join
dqrng,Maths & numerical,CRAN,Fast random number generation
DT,Reporting & documents,CRAN,DataTables HTML widget
dtplyr,Tidyverse & core data,CRAN,dplyr backend using data.table for speed
dtt,Maths & numerical,CRAN,Discrete trigonometric transforms
duckdb,Data import / export,CRAN,Embedded analytical SQL database
duckplyr,Tidyverse & core data,CRAN,dplyr backend using DuckDB
ECOSolveR,Statistics & modelling,CRAN,ECOS convex optimiser R interface
egg,Visualisation (ggplot2 extensions),CRAN,Arrange ggplot2 panels; align axes
ellipse,Statistics & modelling,CRAN,Draw ellipses and ellipse-shaped confidence regions
ellipsis,Miscellaneous utilities,CRAN,Tools for working with ...
emmeans,Statistics & modelling,CRAN,Estimated marginal means and contrasts
english,Miscellaneous utilities,CRAN,Convert numbers to English words
estimability,Statistics & modelling,CRAN,Estimability tools for linear models
eulerr,Visualisation (other),CRAN,Euler area-proportional diagrams
evaluate,Reporting & documents,CRAN,Parse and evaluate R code returning results
factoextra,Statistics & modelling,CRAN,Visualise PCA/clustering results
FactoMineR,Statistics & modelling,CRAN,Multivariate exploratory analysis: PCA CA MFA
fansi,Miscellaneous utilities,CRAN,ANSI string handling
fastcluster,Machine learning & dimensionality reduction,CRAN,Fast hierarchical clustering
fastmap,Miscellaneous utilities,CRAN,Fast map (key-value store)
fastmatch,Parallel & performance,CRAN,Fast match() and %in% replacement
fastmatrix,Maths & numerical,CRAN,Fast matrix computations
fftw,Maths & numerical,CRAN,Fast Fourier Transform (FFTW library)
filelock,Miscellaneous utilities,CRAN,Exclusive file locks
fitdistrplus,Statistics & modelling,CRAN,Fit parametric distributions to data
fontawesome,Reporting & documents,CRAN,Font Awesome icons in R
fontBitstreamVera,Reporting & documents,CRAN,Bitstream Vera fonts for R graphics
fontLiberation,Reporting & documents,CRAN,Liberation fonts for R graphics
fontquiver,Reporting & documents,CRAN,Font management utilities
forcats,Tidyverse & core data,CRAN,Factor handling utilities
foreach,Parallel & performance,CRAN,Iterator-based looping for parallel code
formatR,Reporting & documents,CRAN,Format R code automatically
Formula,Statistics & modelling,CRAN,Extended formula objects
fs,Miscellaneous utilities,CRAN,Modern file system operations
furrr,Parallel & performance,CRAN,purrr-style functions using future
futile.logger,Miscellaneous utilities,CRAN,Logging framework for R
futile.options,Miscellaneous utilities,CRAN,Options management for futile packages
future,Parallel & performance,CRAN,Asynchronous and parallel execution framework
future.apply,Parallel & performance,CRAN,Apply functions using future
gargle,Miscellaneous utilities,CRAN,Google API authentication utilities
gdtools,Reporting & documents,CRAN,Graphics device utilities (fonts etc.)
generics,Tidyverse & core data,CRAN,Generic S3 methods shared across packages
GenSA,Statistics & modelling,CRAN,Generalised simulated annealing optimisation
geosphere,Spatial & GIS,CRAN,Spherical trigonometry for geographic data
gert,Package development & workflow,CRAN,Git operations from R
GetoptLong,Miscellaneous utilities,CRAN,Parse command-line options
getPass,Miscellaneous utilities,CRAN,Masked password input
GGally,Visualisation (ggplot2 extensions),CRAN,ggplot2 extension: pair plots parallel coords
ggalluvial,Visualisation (ggplot2 extensions),CRAN,Alluvial / Sankey diagrams
gganimate,Visualisation (ggplot2 extensions),CRAN,Animate ggplot2 plots
ggbeeswarm,Visualisation (ggplot2 extensions),CRAN,Beeswarm and quasirandom dot plots
ggcorrplot,Visualisation (ggplot2 extensions),CRAN,Visualise correlation matrices
ggdendro,Visualisation (ggplot2 extensions),CRAN,Dendrogram plots in ggplot2
ggfittext,Visualisation (ggplot2 extensions),CRAN,Fit text inside ggplot2 geoms
ggforce,Visualisation (ggplot2 extensions),CRAN,Additional geoms: sina zoom parallel sets
ggfun,Visualisation (ggplot2 extensions),CRAN,Utility functions for ggplot2
gginnards,Visualisation (ggplot2 extensions),CRAN,Inspect and manipulate ggplot internals
ggiraph,Visualisation (ggplot2 extensions),CRAN,Interactive ggplot2 with tooltips
ggmosaic,Visualisation (ggplot2 extensions),CRAN,Mosaic plots in ggplot2
ggnetwork,Visualisation (ggplot2 extensions),CRAN,Network plots in ggplot2
ggnewscale,Visualisation (ggplot2 extensions),CRAN,Multiple colour/fill scales in one plot
ggplot2,Tidyverse & core data,CRAN,The grammar of graphics plotting system
ggplotify,Visualisation (ggplot2 extensions),CRAN,Convert base/grid plots to ggplot2 objects
ggpmisc,Visualisation (ggplot2 extensions),CRAN,Annotations: equations stats tables in ggplot2
ggpp,Visualisation (ggplot2 extensions),CRAN,Table and plot grobs as ggplot2 geoms
ggpubr,Visualisation (ggplot2 extensions),CRAN,Publication-ready ggplot2 themes and stats
ggraph,Visualisation (ggplot2 extensions),CRAN,Network/graph visualisation with ggplot2
ggrastr,Visualisation (ggplot2 extensions),CRAN,Rasterise ggplot layers for large data
ggrepel,Visualisation (ggplot2 extensions),CRAN,Non-overlapping text/label positioning
ggridges,Visualisation (ggplot2 extensions),CRAN,Ridgeline/joy plots
ggseqlogo,Visualisation (ggplot2 extensions),CRAN,Sequence logo plots
ggsignif,Visualisation (ggplot2 extensions),CRAN,Significance brackets on ggplot2 plots
ggstats,Visualisation (ggplot2 extensions),CRAN,Statistical summaries as ggplot2 geoms
ggtangle,Visualisation (ggplot2 extensions),CRAN,Untangle overlapping lines in ggplot2
